code,name,industry,close_price,ytd_yoy,3m_smooth,6m_smooth,revenue_date
6191,精成科,電子零組件業,116.0,47.48585177994031,44.259848841134406,39.411859949812516,2025-12-10
6192,巨路,其他電子業,104.5,-9.689632236219891,-7.886454071887748,-5.671234984613868,2025-12-10
6196,帆宣,其他電子業,272.0,-14.982570637789417,-16.48347413620152,-15.726127207390656,2025-12-10
6197,佳必琪,電子零組件業,135.0,12.108838380597685,12.614087309850483,12.435510018539835,2025-12-10
6201,亞弘電,其他電子業,57.5,5.331489886749208,7.203824667740334,10.948988690105848,2025-12-10
6202,盛群,半導體業,37.35,26.398732326536955,29.353265666115618,34.67145435011525,2025-12-10
6205,詮欣,電子零組件業,38.7,-4.263881090447086,-3.0319005168727777,-3.0910182074801185,2025-12-10
6206,飛捷,電腦及週邊設備業,91.8,15.810642694640475,19.804277857812167,22.512788137169153,2025-12-10
6209,今國光,光電業,62.8,46.48261895645926,42.6814731731048,35.58419379764874,2025-12-10
6213,聯茂,電子零組件業,108.0,11.232807370267505,11.338812667582602,13.353818563599644,2025-12-10
6214,精誠,資訊服務業,122.0,8.309497329828975,9.818087504364712,6.081627243096637,2025-12-10
6215,和椿,其他電子業,102.0,56.71583306040331,65.14425781087066,72.23673788439127,2025-12-10
6216,居易,通信網路業,26.7,-35.763886543981094,-35.897341639384436,-35.59888167578604,2025-12-10
6224,聚鼎,電子零組件業,41.7,2.0580248278100566,2.1179528156949448,7.153711338866735,2025-12-10
6225,天瀚,光電業,17.55,-9.164308162450297,-16.890439310179325,-20.75048639340128,2025-12-10
6226,光鼎,光電業,7.38,-3.7303256383372063,-2.9665087508764056,-2.140497240311215,2025-12-10
6230,尼得科超眾,電腦及週邊設備業,117.5,10.73721009928672,10.987974076485273,11.86412503285711,2025-12-10
6235,華孚,電腦及週邊設備業,60.6,8.018883550040146,5.535852553189227,0.8372401240699272,2025-12-10
6239,力成,半導體業,159.0,-1.3217388866881175,-3.5198731148051476,-6.7565188016623745,2025-12-10
6243,迅杰,半導體業,34.35,-11.055601342324362,-9.443949800541764,-7.401340096626348,2025-12-10
6257,矽格,半導體業,97.3,8.028908919970235,8.304112341948342,8.988119876164255,2025-12-10
6269,台郡,電子零組件業,56.0,-16.958210318808455,-18.21120670458573,-20.998418133767178,2025-12-10
6271,同欣電,半導體業,123.0,-5.155714089050923,-5.013341276511629,-4.987197663575338,2025-12-10
6277,宏正,電腦及週邊設備業,62.0,-1.3746845477062286,-1.5089694304689798,-1.4697840941839642,2025-12-10
6278,台表科,光電業,95.7,10.293934473434764,11.11738152871842,10.646794413448612,2025-12-10
6281,全國電,電子通路業,62.7,-3.8134288378968817,-4.119454762577956,-3.4386387214821617,2025-12-10
6282,康舒,電子零組件業,41.6,-0.36505275718370367,-2.0439759816566205,-2.6873225897623665,2025-12-10
6283,淳安,其他電子業,24.8,23.018662122312207,30.303753429346134,30.4449979427193,2025-12-10
6285,啟碁,通信網路業,101.0,0.06619241386764951,0.646310961003123,-0.08204074651961639,2025-12-10
6405,悅城,光電業,25.3,-99.38169084542271,-99.36815946099046,-99.38716262182243,2025-12-10
6409,旭隼,其他電子業,965.0,-9.56170532555668,-9.399986604999416,-7.605235989323802,2025-12-10
6412,群電,電子零組件業,90.7,-4.91199568207068,-3.0449572085110024,0.11290012250291485,2025-12-10
6414,樺漢,電腦及週邊設備業,298.0,-1.8955013576271385,-1.9128166515525624,-0.4667478291207709,2025-12-10
6415,矽力*-KY,半導體業,194.0,4.540525597630918,4.265813604234858,4.955122068589538,2025-12-10
6416,瑞祺電通,通信網路業,84.3,3.0290345986822675,4.009425012844795,7.1285221496093465,2025-12-10
6423,億而得-創,半導體業,72.0,52.744885578401664,57.20625568284072,81.51598868692149,2025-12-10
6426,統新,通信網路業,96.7,47.66324214328568,47.331024332432015,42.945309193981736,2025-12-10
6431,光麗-KY,生技醫療業,30.7,7.8807040325198585,8.525324486248856,19.60811185383643,2025-12-10
6438,迅得,其他電子業,139.5,22.833291363299104,22.304442183645097,22.01021111791222,2025-12-10
6442,光聖,通信網路業,1155.0,102.56121527211435,108.7804690838153,122.73756426322427,2025-12-10
6443,元晶,光電業,22.6,-60.629955444313545,-61.27585473737358,-60.765801242036396,2025-12-10
6446,藥華藥,生技醫療業,494.5,60.43498576905064,61.36489932747864,65.34490312333456,2025-12-10
6449,鈺邦,電子零組件業,161.0,28.13970158903807,29.231988711181174,30.47081151096474,2025-12-10
6451,訊芯-KY,半導體業,155.5,52.239474668049546,52.91242606318384,59.83973617096032,2025-12-10
6456,GIS-KY,光電業,43.8,0.39550037463045307,2.870116864699374,7.678938219290228,2025-12-10
6464,台數科,其他業,76.5,2.5674781030327942,2.8431179892254597,3.1465673708313084,2025-12-10
6472,保瑞,生技醫療業,503.0,10.30559911168365,13.19888584736033,21.330737388992187,2025-12-10
6477,安集,光電業,34.05,-3.9417251231198547,-6.1265146658923655,-9.543149818980075,2025-12-10
6491,晶碩,生技醫療業,281.5,3.9732895006583835,3.457396315693478,1.7648334422813143,2025-12-10
6504,南六,其他業,41.65,1.6563602528848476,2.5696901713825993,4.537083405949413,2025-12-10
6505,台塑化,油電燃氣業,48.6,-6.250213503329027,-6.195950666078531,-6.416705647867912,2025-12-10
6515,穎崴,半導體業,2625.0,33.907316159423864,34.72617955981758,46.50361923410375,2025-12-10
6525,捷敏-KY,半導體業,74.3,14.675462545319483,15.25853244719491,15.497952477939984,2025-12-10
6526,達發,半導體業,443.5,13.203586600667983,15.224437829557706,19.34178186953586,2025-12-10
6531,愛普*,半導體業,382.5,26.4683109693727,24.433953965188113,25.040096998857916,2025-12-10
6533,晶心科,半導體業,243.5,1.4871981552198932,4.190913921230531,4.658314761405209,2025-12-10
6534,正瀚-創,生技醫療業,88.4,14.353499708201545,13.74497320548737,11.360793664567675,2025-12-10
6541,泰福-KY,生技醫療業,60.6,971.3358617783397,741.9546820040538,532.7515586120187,2025-12-10
6550,北極星藥業-KY,生技醫療業,31.15,-59.5687687461093,-54.146513004997814,-58.97225695069355,2025-12-10
6552,易華電,半導體業,24.85,-22.881914247465428,-23.1504459478831,-22.204762177138306,2025-12-10
6558,興能高,其他電子業,39.0,-4.408803757962398,-3.86594432464868,-0.43489276945432637,2025-12-10
6573,虹揚-KY,半導體業,15.1,-8.973694038683067,-9.384903489828716,-9.267477751431471,2025-12-10
6579,研揚,電腦及週邊設備業,105.5,14.844527513311734,13.618912084525661,10.137332915447681,2025-12-10
6581,鋼聯,綠能環保,105.0,-16.265978787276847,-10.882136380917665,-8.554167067141835,2025-12-10
6582,申豐,橡膠工業,33.9,-44.568203187118506,-40.653639987851165,-30.004899378606407,2025-12-10
6585,鼎基,其他業,90.8,-12.551511309607799,-12.54533657788607,-12.09447702387422,2025-12-10
6589,台康生技,生技醫療業,63.5,0.9239797574207564,-2.5086737795799148,-3.7619674830986085,2025-12-10
6591,動力-KY,電腦及週邊設備業,77.7,33.77030021634497,32.751753390074406,33.91167028852984,2025-12-10
6592,和潤企業,其他業,62.0,-18.826860303259608,-19.661677994216166,-20.61396899907709,2025-12-10
6598,ABC-KY,生技醫療業,21.5,25.01423877942097,26.076068516151665,22.573883066216165,2025-12-10
6605,帝寶,汽車工業,143.0,-2.4475541827200686,-2.332893970083036,-0.9406254544870096,2025-12-10
6606,建德工業,電機機械,25.25,16.38711147452565,15.331066849939518,13.38598998243134,2025-12-10
6625,必應,其他業,80.2,29.458613262013245,33.27255026810443,38.38155239004785,2025-12-10
6641,基士德-KY,綠能環保,19.15,-4.510910552084802,-6.0403057692083095,-6.27636622364761,2025-12-10
6645,金萬林-創,生技醫療業,18.2,11.28417069769425,10.888274294213476,10.467513748880926,2025-12-10
6655,科定,其他業,119.0,2.660572090623914,1.97718196059166,1.5009902243516973,2025-12-10
6657,華安,生技醫療業,43.0,-7.869654817104587,-4.6695841871551655,-2.8582095315042153,2025-12-10
6658,聯策,其他電子業,48.8,33.34040725059266,38.99947663707356,42.775276817383514,2025-12-10
6666,羅麗芬-KY,生技醫療業,44.9,-2.477667179962817,-3.1570757911973586,-1.9197856362518992,2025-12-10
6668,中揚光,光電業,37.75,19.33697485605137,15.50441162124166,14.865150918487894,2025-12-10
6669,緯穎,電腦及週邊設備業,4285.0,163.06195346600995,163.68505013900713,163.06518791877753,2025-12-10
6670,復盛應用,運動休閒,257.5,7.557959876526588,8.359523280552738,12.41941066300465,2025-12-10
6671,三能-KY,居家生活,,-1.7608450948134013,-0.04540119557140917,0.39177528606822626,2025-12-10
6672,騰輝電子-KY,電子零組件業,90.7,-0.3462061341895528,-0.9345426281945716,-1.7848125619998119,2025-12-10
6674,鋐寶科技,通信網路業,19.7,-31.13579051489712,-28.374259874227132,-24.149698822253967,2025-12-10
6689,伊雲谷,數位雲端,62.0,2.4115286674976533,4.0689497739179945,6.928651156036861,2025-12-10
6691,洋基工程,其他電子業,603.0,45.4935929059509,51.488258296875436,55.088795217691256,2025-12-10
6695,芯鼎,半導體業,45.15,17.022845557853337,18.560930134665057,23.58042677398466,2025-12-10
6698,旭暉應材,其他電子業,29.1,26.849119736492867,27.105901220155484,19.64871542271113,2025-12-10
6706,惠特,光電業,112.5,12.940580361971875,26.55016408625397,47.67638006735502,2025-12-10
6715,嘉基,電子零組件業,99.2,-27.728855609729152,-27.925213341258328,-25.063153588638936,2025-12-10
6719,力智,半導體業,195.0,23.295016202251006,22.114616624372797,21.715346409092053,2025-12-10
6742,澤米,光電業,46.3,-16.76075321621875,-14.482613497560422,-8.474811318839604,2025-12-10
6743,安普新,其他電子業,27.8,-17.586615278040707,-18.772471491255352,-17.553626368076355,2025-12-10
6753,龍德造船,航運業,134.0,11.462255711676317,11.947366433866401,11.122793413720684,2025-12-10
6754,匯僑設計,居家生活,47.6,-31.547054058164125,-31.064904225432148,-31.098295520113314,2025-12-10
6756,威鋒電子,半導體業,82.8,-10.224420445810466,-12.255895022517448,-11.89543227458172,2025-12-10
6757,台灣虎航,航運業,66.8,2.761587216931294,2.0118845078822924,2.09347020955429,2025-12-10
6768,志強-KY,運動休閒,113.5,12.337419452159404,14.232951645860695,17.550694181214833,2025-12-10
6770,力積電,半導體業,36.8,2.933880570845959,2.3817165093779735,2.229388476048856,2025-12-10
6771,平和環保-創,綠能環保,45.0,48.14123466309952,59.043013874241545,85.60760985249584,2025-12-10
6776,展碁國際,電子通路業,49.3,14.871161149826095,16.26623906117612,16.84909784240941,2025-12-10
6781,AES-KY,電子零組件業,1330.0,61.24070096078525,63.39737565459536,63.444576873540434,2025-12-10
6782,視陽,生技醫療業,175.0,12.144682689681696,11.372375624504452,12.204778501638977,2025-12-10
6789,采鈺,半導體業,265.0,-6.798286804564835,-6.255825938541956,-3.8529177789783358,2025-12-10
6790,永豐實,造紙工業,38.8,-0.778538110534932,-0.3994099424207809,1.09876157525168,2025-12-10
6792,詠業,通信網路業,49.5,7.5845988643547635,8.320554587950838,9.061331433922307,2025-12-10
