"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="9918","欣天然","市","11/19","39.75","+0.15","+0.38","10","18.1","18.05","71.8","54.6","31.6","","","","","","","油電燃氣業","陳何家","黃昆宗"
="9919","康那香","市","11/19","16.25","-0.4","-2.4","10","19.5","19.54","31.7","53.9","31","","","","","","","其他業","戴華銘","戴秀玲"
="9921","巨大","市","11/19","91.7","+0.7","+0.77","10","39.2","39.21","360","53.1","30.9","","","有","","","","運動休閒","劉湧昌","劉素娟"
="9924","福興","市","11/19","52.9","-0.3","-0.56","10","15.1","15.08","79.8","68","30.7","","","","","","","居家生活","林瑞章","陳建昆"
="9925","新保","市","11/19","40.6","+0.15","+0.37","10","38.7","38.75","157","45.8","29.9","","","","","","","其他業","吳昕東","洪國超"
="9926","新海","市","11/19","49.35","-0.15","-0.3","10","18","17.95","88.6","59.4","27.6","","","","","","","油電燃氣業","林坤正","伍啟豪"
="9928","中視","市","11/19","17.75","+0.05","+0.28","10","6.07","7.07","12.6","57.1","26.3","","","","有","有","","其他業","盧秀芳","盧秀芳"
="9929","秋雨","市","11/19","10.1","+0.17","+1.71","10","10.1","10.13","10.2","49.1","26.4","","","","","有","","其他業","陳慧遊","陳鴻璸"
="9930","中聯資源","市","11/19","70.5","+0.4","+0.57","10","24.9","24.85","175","34.5","26","","","","","","","綠能環保","周文賢","吳一民"
="9931","欣高","市","11/19","33.65","+0.3","+0.9","10","12","12.04","40.5","41.9","27","","","","","","","油電燃氣業","陳建東","王繼開"
="9933","中鼎","市","11/19","30.6","+0.1","+0.33","10","89.2","89.25","273","46.6","32.5","","","","有","","","其他業","楊宗興","李銘賢"
="9934","成霖","市","11/19","9.57","-0.05","-0.52","10","41.1","41.1","39.3","46.1","25.2","","","","","","","居家生活","歐陽玄","歐陽玄"
="9935","慶豐富","市","11/19","19.9","-0.1","-0.5","10","17.8","17.78","35.4","48.7","26.8","","","","有","","","居家生活","許閔琁","許竣然"
="9937","全國","市","11/19","57","+0.1","+0.18","10","30.9","30.9","176","37.3","29.9","","","","","","","油電燃氣業","賴正時","蔡佳璋"
="9938","百和","市","11/19","53.5","+1.6","+3.08","10","29.8","29.8","159","40.8","24.9","有","","有","","","","其他業","鄭森煤","鄭誠禕"
="9939","宏全","市","11/19","122","-3","-2.4","10","29.6","29.58","361","56.4","24.7","有","","有","有","","","其他業","鄭雅文","曹宏宇"
