"代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","掛牌年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
="2524","京城","市","11/19","39.7","-0.25","-0.63","10","37","36.99","147","40.2","31.1","","","有","","","","建材營造業","蔡天贊","蔡天贊"
="2527","宏璟","市","11/19","24.9","-0.15","-0.6","10","27","27.03","67.3","38.9","30.7","","","","","","","建材營造業","簡文祥","周家佩"
="2528","皇普","市","11/19","29.5","-0.3","-1.01","10","43.4","43.4","128","40.8","30.7","","","","有","","","建材營造業","蘇永平","蘇永平"
="2530","華建","市","11/19","27.15","-0.35","-1.27","10","84","84","228","64.9","30.1","","","","有","","","建材營造業","鄭斯聰","黃智楨"
="2534","宏盛","市","11/19","20.05","-0.05","-0.25","10","47.4","47.42","95.1","39.4","29.8","","","","","","","建材營造業","林新欽","陸永富"
="2535","達欣工","市","11/19","60.5","-0.5","-0.82","10","27.1","27.08","164","58.8","29.7","","","","有","","","建材營造業","王人正","代理總經理 謝天賀"
="2536","宏普","市","11/19","25.45","+0.15","+0.59","10","33.3","33.28","84.7","37.1","29.7","","","","有","","","建材營造業","游武龍","游武龍"
="2537","聯上發","市","11/19","10.25","0","0","10","30.1","30.06","30.8","38.3","29.2","","","","有","","","建材營造業","蘇永義","李志明"
="2538","基泰","市","11/19","10.85","-0.2","-1.81","10","44.5","44.5","48.3","46","29.1","","","","有","","","建材營造業","楊儲明","馮先勉"
="2539","櫻花建","市","11/19","43.6","-1.5","-3.33","10","119","119.3","520","38.6","28.3","","","","","","","建材營造業","陳世英","沈淑貞"
="2540","愛山林","市","11/19","46","-0.1","-0.22","10","94.5","94.49","435","39.2","35.9","","","有","有","","","建材營造業","祝文宇","祝藝"
="2542","興富發","市","11/19","37.25","-0.75","-1.97","10","217","217.3","809","45.8","26.6","有","","有","有","","","建材營造業","曹淵博","范華軍"
="2543","皇昌","市","11/19","60.9","+2.5","+4.28","10","53.2","53.24","324","44.8","26.1","","","有","","","","建材營造業","江程金","黃重雷"
="2545","皇翔","市","11/19","37.85","-0.45","-1.17","10","38","37.97","144","34","25.2","","","有","","","","建材營造業","廖年吉","廖宇祥"
="2546","根基","市","11/19","87.4","-0.8","-0.91","10","13.1","13.05","114","43.6","27.4","","","","","","","建材營造業","袁藹維","黃義芳/陳俊明"
="2547","日勝生","市","11/19","10.45","-0.1","-0.95","10","104","103.5","108","43.7","24.9","","","有","有","","","建材營造業","林榮顯","劉垚凱"
="2548","華固","市","11/19","97","-0.2","-0.21","10","32","31.97","310","36.6","25.3","有","","有","有","","","建材營造業","鍾榮昌","洪嘉昇"
="2597","潤弘","市","11/19","160.5","0","0","10","31.1","31.07","499","50","15.7","","","","","","","建材營造業","李志宏","莫惟瀚"
="2601","益航","市","11/19","5.53","+0.01","+0.18","10","82.5","82.48","45.6","62.1","60","","","","","","","貿易百貨業","郭人豪","郭人豪"
="2603","長榮","市","11/19","179.5","0","0","10","217","216.5","3,886","57.2","38.2","有","有","有","有","","","航運業","張衍義","吳光輝"
="2605","新興","市","11/19","23.25","-0.05","-0.21","10","58.5","58.54","136","57.7","36","有","","有","","","","航運業","許積皋","許積皋"
="2606","裕民","市","11/19","54.9","+0.3","+0.55","10","84.5","84.51","464","57.2","35","有","","有","有","","","航運業","徐旭東","王書吉"
="2607","榮運","市","11/19","57","+0.8","+1.42","10","53.4","53.36","304","52.1","34.9","","","","","","","航運業","邱顯育","林振芳"
="2608","嘉里大榮","市","11/19","33.35","-0.15","-0.45","10","46.7","46.7","156","65.9","34.9","","","","","","","航運業","沈宗桂","財務暨行政總處：阮慧雯"
="2609","陽明","市","11/19","51.5","-0.1","-0.19","10","349","349.2","1,798","52.9","33.6","有","","有","有","","","航運業","蔡豐明","白崑榮"
="2610","華航","市","11/19","19.05","+0.1","+0.53","10","608","608.4","1,159","66.2","32.7","有","","有","有","","","航運業","高星潢","陳漢銘"
="2611","志信","市","11/19","14.6","-0.4","-2.67","10","18.9","18.9","27.6","52","32.1","","","","","","","航運業","黃春發","陳秀奇"
="2612","中航","市","11/19","51.2","0","0","10","19.7","19.75","101","47.8","31.1","","","有","有","","","航運業","彭士孝","戴聖堅"
="2613","中櫃","市","11/19","23.5","-0.2","-0.84","10","14.8","14.84","34.9","56","30.8","","","","","","","航運業","林宏年","黃國樑"
="2614","東森","市","11/19","21.45","-0.45","-2.05","10","30","32.73","70.2","50.5","30.2","","","","","","","其他業","廖尚文","廖尚文"
="2615","萬海","市","11/19","82.5","-0.8","-0.96","10","281","280.6","2,315","60.7","29.5","有","","有","有","","","航運業","久福花園股份有限公司","謝福隆"
="2616","山隆","市","11/19","13.65","-0.05","-0.36","10","13.7","13.73","18.7","49.6","28","","","","有","","","油電燃氣業","鄭人豪","蕭煒騰"
="2617","台航","市","11/19","28.8","-0.6","-2.04","10","41.7","41.73","120","79.4","27.4","","","","","","","航運業","劉文慶","仇忠林"
="2618","長榮航","市","11/19","33.55","+0.4","+1.21","10","540","540","1,812","36.6","26.1","有","有","有","有","","","航運業","林寶水","孫嘉明"
="2630","亞航","市","11/19","46.9","-0.45","-0.95","10","20.9","20.94","98.2","70.8","7.74","","","有","有","","","航運業","李偉賢","李偉賢"
="2633","台灣高鐵","市","11/19","27.8","-0.1","-0.36","10","563","562.8","1,565","27.5","9.06","有","","","有","有","","航運業","史哲","陳惠裕"
="2634","漢翔","市","11/19","47.35","-0.15","-0.32","10","94.2","94.19","446","29.4","11.2","有","","有","有","","","航運業","待委任(由曹進平總經理代理董事長職務)","曹進平"
="2636","台驊控股","市","11/19","65.2","-0.3","-0.46","10","14.2","14.18","92.5","38.8","16.6","","","有","有","","","航運業","張立秋","顏益財"
="2637","慧洋-KY","市","11/19","63.3","-0.3","-0.47","10","74.6","74.64","472","17.1","15","","","有","有","","","航運業","藍俊昇","藍俊昇"
="2642","宅配通","市","11/19","26.8","-0.2","-0.74","10","9.55","9.55","25.6","26.2","11.9","","","","","","","航運業","邱純枝","徐慶懿"
="2645","長榮航太","市","11/19","137.5","+2","+1.48","10","37.5","37.46","515","28","2.69","","","有","","","","航運業","黃南宏","謝新文"
="2646","星宇航空","市","11/19","23.25","+0.2","+0.87","10","301","300.9","700","7.6","1.07","","","有","","","","航運業","張國煒","翟健華"
="2701","萬企","市","11/19","11.05","-0.1","-0.9","10","45","45","49.7","67.7","60.7","","","","","","","觀光餐旅","蔡茂昌","吳雅珍"
="2702","華園","市","11/19","11.4","-0.1","-0.87","10","15.7","15.66","17.9","66.3","60.8","","","","","","","觀光餐旅","陳海尼","陳海尼"
="2704","國賓","市","11/19","41.9","+0.15","+0.36","10","36.7","36.69","154","63","43","","","","","","","觀光餐旅","許育瑞","許家堯"
="2705","六福","市","11/19","16.65","-0.1","-0.6","10","19.1","19.13","31.9","57.8","36.9","","","","","有","","觀光餐旅","莊豐如","賴振融"
="2706","第一店","市","11/19","13","+0.05","+0.39","10","50","50","65","57.1","34.4","","","","","","","觀光餐旅","顧安生","徐小華"
="2707","晶華","市","11/19","189.5","+0.5","+0.26","10","12.7","12.74","241","49.4","27.7","","","","有","","","觀光餐旅","潘思亮","吳偉正"
="2712","遠雄來","市","11/19","19.25","+0.1","+0.52","10","10.5","10.5","20.2","34.8","12","","","","","","","觀光餐旅","武祥生","沈建劭"
="2722","夏都","市","11/19","27.55","-0.45","-1.61","10","14.3","14.32","39.4","30.1","13.7","","","","","","","觀光餐旅","陳協同","王慶祺"
="2723","美食-KY","市","11/19","60.2","0","0","10","18","18","108","17.1","15","","","","","","","觀光餐旅","吳政學","吳政學"
="2727","王品","市","11/19","213.5","+1","+0.47","10","8.45","8.45","180","32","13.7","","","有","有","","","觀光餐旅","陳正輝","陳正輝"
="2731","雄獅","市","11/19","179.5","+3","+1.7","10","9.33","9.33","167","48.4","12.2","","","有","有","","","觀光餐旅","王文傑","黃信川"
="2739","寒舍","市","11/19","35","-0.6","-1.69","10","9.15","9.15","32","25.8","9.51","","","","","","","觀光餐旅","蔡伯翰","蔡伯翰"
="2748","雲品","市","11/19","43.25","-0.65","-1.48","10","10.6","10.58","45.7","13","8.99","","","","有","","","觀光餐旅","盛治仁","丁原偉"
="2753","八方雲集","市","11/19","193.5","-1.5","-0.77","10","6.66","6.66","129","25.8","4.2","","","有","","","","觀光餐旅","林欣怡","林欣怡"
="2762","世界健身-KY","市","11/19","78.1","+1.5","+1.96","10","11.2","11.25","87.9","12","1.82","","","","","","","運動休閒","柯約翰","柯約翰"
="2801","彰銀","市","11/19","19.8","-0.1","-0.5","10","1,177","1,177","2,330","75.4","63.8","有","有","有","","","","銀行業","胡光華","簡志光"
="2812","台中銀","市","11/19","21","-0.05","-0.24","10","592","592.2","1,244","72.2","41.5","","","","","","","銀行業","李瑞倉","董益源"
="2816","旺旺保","市","11/19","28.85","+0.65","+2.3","10","22.4","22.36","64.5","62.8","33.5","","","","","","","保險業","洪吉雄","劉自明"
="2820","華票","市","11/19","16.5","+0.2","+1.23","10","134","134.3","222","47","31.1","","","","","","","銀行業","張政權","魏政祥"
="2832","台產","市","11/19","49.6","-0.35","-0.7","10","25.4","25.35","126","77.7","28.1","","","","","","","保險業","李泰宏","陳昭鋒"
="2834","臺企銀","市","11/19","15.35","-0.05","-0.32","10","972","971.8","1,492","75.2","27.9","有","","有","","","","銀行業","李嘉祥","李國忠"
="2836","高雄銀","市","11/19","11.85","-0.1","-0.84","10","188","184","218","43.9","27.5","","","","有","","有","銀行業","陳勇勝(代理)","張榮泰(代理)"
"2836A","高雄銀甲特","市","11/19","23.1","0","0","","","4","9.24","","4.85","","","","","","","銀行業","",""
="2838","聯邦銀","市","11/19","18.6","0","0","10","454","434.1","807","33.9","27.4","","","","","","有","銀行業","林鴻聯","許維文"
"2838A","聯邦銀甲特","市","11/19","54.5","+0.1","+0.18","","","20","109","","7.97","","","","","","","銀行業","",""
="2845","遠東銀","市","11/19","12.45","0","0","10","438","486.5","606","33.9","27","","","有","有","","","銀行業","張家祝(代理董事長)","周添財"
="2849","安泰銀","市","11/19","13.05","+0.1","+0.77","10","196","195.8","255","33.5","26.1","","","","","有","","銀行業","俞宇琦","徐世偉"
="2850","新產","市","11/19","115","+0.5","+0.44","10","31.6","31.6","363","62.6","25.5","","","","","","","保險業","吳昕紘","何英蘭"
="2851","中再保","市","11/19","25.65","-0.15","-0.58","10","80","80.04","205","57.4","25.4","","","","","","","保險業","戴錦銓","鍾志宏"
="2852","第一保","市","11/19","27.05","0","0","10","30.1","30.12","81.5","63.2","25","","","","","","","保險業","李正漢","陳信坤"
="2855","統一證","市","11/19","23.8","-0.05","-0.21","10","160","160.1","381","36.9","26.8","","","","","","","證券業","林寬成","楊凱智"
="2867","三商壽","市","11/19","7.16","0","0","10","590","590","422","32.4","12.9","","","","有","","","保險業","翁肇喜","陳宏昇"
="2880","華南金","市","11/19","28.35","-0.2","-0.7","10","1,392","1,392","3,945","23.9","23.9","有","有","有","有","","","金控業","陳芬蘭","李耀卿"
="2881","富邦金","市","11/19","88.1","-1.4","-1.56","10","1,561","1,401","12,340","23.9","23.9","有","有","有","有","","有","金控業","蔡明興","韓蔚廷"
"2881A","富邦特","市","11/19","63.5","0","0","","","60","381","","9.47","","","","","","","金控業","",""
"2881B","富邦金乙特","市","11/19","62","0","0","","","66.67","413","","7.58","","","","","","","金控業","",""
"2881C","富邦金丙特","市","11/19","53.7","0","0","","","33.33","179","","4.06","","","","","","","金控業","",""
="2882","國泰金","市","11/19","64.2","-0.6","-0.93","10","1,620","1,467","9,418","23.9","23.9","有","有","有","有","","有","金控業","蔡宏圖","李長庚"
"2882A","國泰特","市","11/19","60.7","-0.1","-0.16","","","83.33","506","","8.84","","","","","","","金控業","",""
"2882B","國泰金乙特","市","11/19","60.1","0","0","","","70","421","","7.29","","","","","","","金控業","",""
="2883","凱基金","市","11/19","15.3","-0.2","-1.29","10","1,856","1,698","2,597","23.9","23.9","有","","有","有","","有","金控業","王銘陽","楊文鈞"
"2883B","凱基金乙特","市","11/19","7.65","0","0","","","158.2","121","","3.89","","","","","","","金控業","",""
="2884","玉山金","市","11/19","30","+0.1","+0.33","10","1,617","1,617","4,852","23.8","23.8","有","有","有","有","","","金控業","黃男州","陳茂欽"
="2885","元大金","市","11/19","34.9","-0.3","-0.85","10","1,333","1,333","4,653","23.8","23.8","有","有","有","有","","","金控業","翁健","黃維誠"
="2886","兆豐金","市","11/19","38.95","-0.45","-1.14","10","1,483","1,483","5,778","23.8","23.8","有","有","有","有","","","金控業","董瑞斌","張傳章"
="2887","台新新光金","市","11/19","18.4","-0.1","-0.54","10","2,936","2,487","4,575","23.8","23.8","有","有","有","有","","有","金控業","吳東亮","林維俊"
"2887E","台新新光戊特一","市","11/19","48.7","-0.05","-0.1","","","50","244","","8.77","","","","","","","金控業","",""
"2887F","台新新光戊特二","市","11/19","45.1","0","0","","","30","135","","6.87","","","","","","","金控業","",""
"2887G","台新新光庚特一","市","11/19","37.95","0","0","","","7.5","28.5","","0.33","","","","","","","金控業","",""
"2887H","台新新光庚特二","市","11/19","37.45","-0.05","-0.13","","","21.97","82.3","","0.33","","","","","","","金控業","",""
"2887I","台新新光辛特","市","11/19","9.3","+0.02","+0.22","","","309.6","288","","0.33","","","","","","","金控業","",""
"2887Z1","台新新光己特","市","11/19","16.05","0","0","","","30","48.2","","3.32","","","","","","","金控業","",""
="2889","國票金","市","11/19","15.65","-0.2","-1.26","10","363","363.4","569","23.7","23.7","","","有","","","","金控業","魏啟林","陳冠舟"
="2890","永豐金","市","11/19","26.45","+0.05","+0.19","10","1,450","1,450","3,836","23.5","23.5","有","有","有","有","","有","金控業","陳思寬","朱士廷"
="2891","中信金","市","11/19","42.9","+0.3","+0.7","10","2,015","1,965","8,430","23.5","23.5","有","有","有","有","","有","金控業","顏文隆","高麗雪"
"2891B","中信金乙特","市","11/19","63.9","0","0","","","33.33","213","","7.82","","","","","","","金控業","",""
"2891C","中信金丙特","市","11/19","60","+0.1","+0.17","","","16.67","100","","6.54","","","","","","","金控業","",""
="2892","第一金","市","11/19","27.85","0","0","10","1,438","1,438","4,005","22.9","22.9","有","有","有","有","","","金控業","邱月琴","方螢基"
="2897","王道銀行","市","11/19","8.98","-0.03","-0.33","10","306","280.5","252","26.3","8.54","","","","有","","有","銀行業","駱怡君","李芳遠"
"2897B","王道銀乙特","市","11/19","11.9","+0.05","+0.42","","","25","29.8","","1.14","","","","","","","銀行業","",""
="2901","欣欣","市","11/19","24.8","+0.3","+1.22","10","7.3","7.3","18.1","54.6","49.5","","","","","","","貿易百貨業","李文英","孟正光"
="2903","遠百","市","11/19","23.25","+0.25","+1.09","10","142","141.7","329","58.2","47.1","","","","","","","貿易百貨業","徐旭東","徐雪芳"
="2904","匯僑","市","11/19","17","0","0","10","7.78","7.78","13.2","47.1","42.9","","","","","","","其他業","廖述群","葉唐榮"
="2905","三商","市","11/19","14.7","+0.2","+1.38","10","111","111","163","60.7","37.2","","","","有","","","貿易百貨業","陳翔立","陳翔立"
="2906","高林","市","11/19","12.95","-0.2","-1.52","10","20.9","20.91","27.1","56.5","35.9","","","","有","","","貿易百貨業","李忠良","李界羲"
="2908","特力","市","11/19","20.3","+0.25","+1.25","10","51","50.99","104","47.3","32.8","","","","","","","貿易百貨業","李麗秋","李麗秋董事長代理總經理"
="2910","統領","市","11/19","20.8","-0.15","-0.72","10","17.5","17.54","36.5","43.3","28.9","","","","","","","貿易百貨業","蘇建義","翁華利"
="2911","麗嬰房","市","11/19","4.56","-0.13","-2.77","10","10.5","10.51","4.79","52.4","28.8","","","","有","有","","貿易百貨業","林柏蒼","陳仁沛"
="2912","統一超","市","11/19","236","-0.5","-0.21","10","104","104","2,454","38.4","28.2","","","","","","","貿易百貨業","羅智先","黃瑞典"
="2913","農林","市","11/19","13.2","-0.4","-2.94","10","79","79","104","75.4","63.8","有","","","","有","","貿易百貨業","吳清源","吳清源"
="2915","潤泰全","市","11/19","52.8","+0.3","+0.57","10","110","110.4","583","49.9","48.3","有","","有","","","","貿易百貨業","徐盛育","徐志漳"
="2923","鼎固-KY","市","11/19","19.75","+0.45","+2.33","10","174","174","344","18","13","","","","","","","建材營造業","張洪本","張能耀"
="2929","淘帝-KY","市","11/19","8.01","-0.05","-0.62","10","10.9","10.95","8.77","13.1","11.9","","","","","","","貿易百貨業","周志鴻","莊凌鋒"
="2939","永邑-KY","市","11/19","24.95","0","0","10","4.55","4.55","11.4","10.5","7.86","","","","","","","貿易百貨業","湯棋同","陳柏融"
="2945","三商家購","市","11/19","38","-0.1","-0.26","10","6.75","6.75","25.6","12.8","3.97","","","","","","","貿易百貨業","陳翔玢","邱光隆"
="3002","歐格","市","11/19","24.75","-0.2","-0.8","10","10.2","10.2","25.2","42.3","23.8","","","","","","","電腦及週邊設備業","李廣浩","李廣浩"
="3003","健和興","市","11/19","46.2","-0.25","-0.54","10","15.6","15.57","71.9","47.8","23.8","","","有","有","","","電子零組件業","鄭克彬","鄭傑元"
="3004","豐達科","市","11/19","101","+0.5","+0.5","10","5.57","5.57","56.2","28.1","23.7","","","有","","","","鋼鐵工業","蔡豐賜","林威村"
="3005","神基","市","11/19","123","-4","-3.15","10","62","62.02","763","36.1","23.7","有","","有","","","","電腦及週邊設備業","黃明漢","黃明漢"
="3006","晶豪科","市","11/19","85.6","-2.6","-2.95","10","28.6","28.62","245","27.5","23.7","有","","有","有","","","半導體業","張明鑒","張明鑒"
="3008","大立光","市","11/19","2075","+5","+0.24","10","13.3","13.35","2,769","38.6","23.7","有","有","有","","","","光電業","林恩平","黃有執"
="3010","華立","市","11/19","101.5","+1.5","+1.5","10","25.9","25.94","263","57.1","25.2","","","有","","","","電子通路業","張尊賢","張尊賢"
="3011","今皓","市","11/19","12.7","-0.05","-0.39","10","11.3","11.27","14.3","42.9","25.1","","","","","","","電子零組件業","石浩吉","林盟傑"
="3013","晟銘電","市","11/19","120","-3.5","-2.83","10","20.5","20.51","246","49.4","23.2","","","有","有","","","電腦及週邊設備業","林木和","羅志吉"
="3014","聯陽","市","11/19","117.5","-1","-0.84","10","16.6","16.6","195","29.5","23.1","","","有","","","","半導體業","胡鈞陽","董明憲"
="3015","全漢","市","11/19","52.7","-3.4","-6.06","10","18.7","18.73","98.7","32.6","23.1","","","有","","","","電子零組件業","鄭雅仁","鄭雅仁"
="3016","嘉晶","市","11/19","47.5","-1.3","-2.66","10","28.9","28.85","137","27","22.9","","","有","有","","","半導體業","徐建華","温錦祥"
="3017","奇鋐","市","11/19","1340","-30","-2.19","10","38.8","38.82","5,201","33.9","23.1","有","","有","有","","","電腦及週邊設備業","沈慶行","沈慶行"
="3018","隆銘綠能","市","11/19","12.05","0","0","10","7.54","7.54","9.08","29.9","25","","","","","有","","其他電子業","許鑒隆","許鑒隆"
="3019","亞光","市","11/19","131.5","0","0","10","27.9","27.92","367","45.1","25.1","有","","有","","","","光電業","賴以仁","林泰朗"
="3021","鴻名","市","11/19","17.25","+0.15","+0.88","10","9.49","9.49","16.4","32.5","25.2","","","","有","","","電子零組件業","張允騰","林嘉祥"
="3022","威強電","市","11/19","63.9","-1","-1.54","10","17.7","17.66","113","28.6","24.6","","","有","","","","電腦及週邊設備業","張明智","江重良"
="3023","信邦","市","11/19","206","-1","-0.48","10","24","24.01","495","36","24.5","","","有","","","","電子零組件業","王紹新","梁偉銘"
="3024","憶聲","市","11/19","10.25","-0.55","-5.09","10","27.7","27.72","28.4","49.3","27.5","","","","有","","","光電業","彭亭玉","彭秀雲"
="3025","星通","市","11/19","42.85","-0.45","-1.04","10","5.67","5.67","24.3","34","24.8","","","","","","","通信網路業","葉茂林","葉茂林"
="3026","禾伸堂","市","11/19","103","+3","+3","10","16.6","16.59","171","44.5","25.9","","","有","","","","電子零組件業","唐錦榮","唐錦榮"
="3027","盛達","市","11/19","23.5","-0.35","-1.47","10","11.6","11.6","27.3","52.7","25.8","","","","","有","","通信網路業","陳振乾","張淑梅"
="3028","增你強","市","11/19","35.2","-0.4","-1.12","10","23.7","23.72","83.5","43.1","25.1","","","","有","","","電子通路業","陳信義","周俊光/周俊賢"
="3029","零壹","市","11/19","107.5","-0.5","-0.46","10","16.7","16.7","180","45.4","25.8","","","有","","有","","資訊服務業","林嘉勲","陳鍵忠"
="3030","德律","市","11/19","142.5","-2","-1.38","10","23.6","23.62","337","36.6","24.7","","","有","","","","其他電子業","陳玠源","陳玠源"
="3031","佰鴻","市","11/19","18.35","-0.45","-2.39","10","17.3","17.32","31.8","44.5","24.7","","","","","","","光電業","廖宗仁","廖宗仁"
="3032","偉訓","市","11/19","84.5","-3.4","-3.87","10","11.3","11.33","95.7","46.8","24.6","","","有","","有","","電子零組件業","王駿東","李家慶"
="3033","威健","市","11/19","29.35","-0.25","-0.84","10","48","47.87","140","48.8","25.1","","","有","","","","電子通路業","胡秋江","紀廷芳"
="3034","聯詠","市","11/19","392","0","0","10","60.9","60.85","2,385","28.5","24.6","有","","有","","","","半導體業","何泰舜","王守仁"
="3035","智原","市","11/19","159.5","-6.5","-3.92","10","26.1","26.06","416","32.4","26.1","有","","有","","","","半導體業","洪嘉聰","王國雍"
="3036","文曄","市","11/19","131","-1","-0.76","10","130","116.9","1,531","31.9","25.1","有","","有","","","有","電子通路業","鄭文宗","鄭文宗"
"3036A","文曄甲特","市","11/19","51.3","+0.1","+0.2","","","13.5","69.3","","5.08","","","","","","","電子通路業","",""
="3037","欣興","市","11/19","160.5","-9.5","-5.59","10","153","153","2,455","35.8","26.9","有","有","有","","","","電子零組件業","曾子章","馬光華、蘭庭"
="3038","全台","市","11/19","20.15","-0.15","-0.74","10","15.7","15.74","31.7","31.2","24.6","","","","","","","光電業","曾瑞銘","王臺光"
="3040","遠見","市","11/19","55.7","-0.1","-0.18","10","6.3","6.3","35.1","39.5","24.9","","","","有","","","其他業","周發","黃庭洋"
="3041","揚智","市","11/19","24.95","-0.6","-2.35","10","14","14.02","35","32.4","26.2","","","","","有","","半導體業","凃俊光","連建欽"
="3042","晶技","市","11/19","81.3","-1.2","-1.45","10","34.3","34.3","279","41.9","24.7","有","","有","","有","","電子零組件業","林萬興","郭雅屏"
="3043","科風","市","11/19","20.1","-0.95","-4.51","10","3.9","3.9","7.83","38.6","24.6","","","","有","","","其他電子業","科飛投資股份有限公司","楊淑艷"
="3044","健鼎","市","11/19","294.5","+1","+0.34","10","52.6","52.56","1,548","33.9","25","有","","有","","","","電子零組件業","王景春","黃樂仁"
="3045","台灣大","市","11/19","106.5","-0.5","-0.47","10","372","372.3","3,965","28.7","25.2","有","","有","有","","","通信網路業","蔡明忠","林之晨"
="3046","建碁","市","11/19","46.8","+0.05","+0.11","10","7.84","7.84","36.7","28.9","25.2","","","","","","","電腦及週邊設備業","簡慧祥","王博修"
="3047","訊舟","市","11/19","16.75","+0.25","+1.52","10","22.4","22.37","37.5","39.4","24.7","","","","","","","通信網路業","任冠生","任冠生"
="3048","益登","市","11/19","37.4","+0.85","+2.33","10","27","26.98","101","29.4","23.1","","","有","","有","","電子通路業","曾禹旖","于俊潔"
="3049","精金","市","11/19","6.72","-0.16","-2.33","10","80.2","80.2","53.9","26.2","23.1","","","有","有","","","光電業","馬維欣","馬維欣"
="3050","鈺德","市","11/19","11.5","+0.05","+0.44","10","15.5","15.5","17.8","31.5","23.1","","","","","","","光電業","楊慰芬","羅宜富"
="3051","力特","市","11/19","18.8","-0.25","-1.31","10","16.7","16.7","31.4","27.7","23.1","","","","有","有","","光電業","趙寄蓉","趙輝生"
="3052","夆典","市","11/19","11.2","-0.15","-1.32","10","23.3","23.32","26.1","49.3","30","","","","","","","建材營造業","郭國華","郭國華"
="3054","立萬利","市","11/19","22.75","+0.45","+2.02","10","8.07","8.07","18.3","34.4","23","","","","","","","食品工業","陳立青","陳立青"
="3055","蔚華科","市","11/19","56.7","-1.2","-2.07","10","11.5","11.5","65.2","37.9","22.9","","","有","","有","","電子通路業","秦家騏","楊燿州"
="3056","富華新","市","11/19","18.2","-0.45","-2.41","10","48.1","48.06","87.5","28","22.7","","","有","有","","","建材營造業","吳錫坤","林鳳秋副總經理(代理)"
="3057","喬鼎","市","11/19","14.3","-0.8","-5.3","10","6.03","6.03","8.63","34.7","22.9","","","","有","有","","電腦及週邊設備業","李志恩","李志恩"
="3058","立德","市","11/19","9.85","-0.14","-1.4","10","20.2","20.17","19.9","55.7","22.9","","","","","有","","電子零組件業","包忠詒","包忠詒(暫代)"
="3059","華晶科","市","11/19","41.15","+0.3","+0.73","10","30.7","30.72","126","28.9","22.9","","","有","","","","光電業","夏汝文","林㨗昇"
="3060","銘異","市","11/19","27.5","-1.15","-4.01","10","13.8","13.76","37.8","46.1","22.6","","","","","","","電腦及週邊設備業","謝錦興","謝錦興"
="3062","建漢","市","11/19","23.35","-0.35","-1.48","10","33","33.02","77.1","27.4","22.3","","","有","","","","通信網路業","李廣益","歐陽若"
="3090","日電貿","市","11/19","82","+0.8","+0.99","10","28.8","28.76","236","32.9","22","","","有","","有","","電子零組件業","周煒凌","于耀國"
="3092","鴻碩","市","11/19","15.1","-0.75","-4.73","10","10.7","10.66","16.1","33.9","15.5","","","","有","","","電子零組件業","張利榮","魯憶萱"
="3094","聯傑","市","11/19","23","-0.7","-2.95","10","8.31","8.31","19.1","29.3","18.3","","","","","","","半導體業","郝挺","林有亮"
="3130","一零四","市","11/19","225","+1.5","+0.67","10","3.32","3.32","74.7","32.1","19.8","","","","","","","數位雲端","楊基寬","黃于純"
="3135","凌航","市","11/19","47.7","+0.1","+0.21","10","7.75","7.75","37","27.3","0.29","","","","","","","半導體業","曾珍","曾珍"
="3138","耀登","市","11/19","83.7","-0.4","-0.48","10","5.03","5.03","42.1","35.8","4.94","","","","有","","","通信網路業","張玉斌","張玉斌"
="3149","正達","市","11/19","33.75","-0.35","-1.03","10","22.6","22.62","76.4","29.4","14","","","","","有","","光電業","鍾志明","鍾志明"
="3150","鈺寶-創","市","11/19","17.8","-0.2","-1.11","10","4.44","4.44","7.9","27.8","1.4","","","","","","","半導體業","蔡玲君","黃良駿"
="3164","景岳","市","11/19","18.35","-0.25","-1.34","10","8.6","8.6","15.8","25","17.2","","","","","","","生技醫療業","陳根德","陳昱瑾"
="3167","大量","市","11/19","206.5","-9","-4.18","10","8.84","8.84","182","44.9","12.1","","","有","","","","電機機械","王作京","簡禎祈"
="3168","眾福科","市","11/19","43.25","0","0","10","7.71","7.71","33.3","28","1.65","","","","","","","光電業","黃漢州","俞思平"
="3189","景碩","市","11/19","134.5","-11","-7.56","10","45.7","45.68","614","25.2","21.1","有","","有","","","","半導體業","廖賜政","陳河旭"
="3209","全科","市","11/19","32.1","-0.4","-1.23","10","23.5","23.47","75.3","34.6","21.6","","","","有","","","電子通路業","吳堉文","謝宏昌"
="3229","晟鈦","市","11/19","15.15","+0.4","+2.71","10","6.43","6.43","9.74","38.3","20.6","","","","","有","","電子零組件業","莊明理","劉文禎"
="3231","緯創","市","11/19","137","0","0","10","318","318","4,357","24.5","22.3","有","有","有","有","","","電腦及週邊設備業","林憲銘","林建勳"
="3257","虹冠電","市","11/19","60.3","-1.1","-1.79","10","7.98","7.98","48.1","26.9","14.7","","","","","","","半導體業","方敏宗","林保偉"
="3266","昇陽","市","11/19","13.3","-0.1","-0.75","10","35.2","35.23","46.9","32.7","21.1","","","","","","","建材營造業","麥寬成","魏岱霖"
="3296","勝德","市","11/19","19.35","-0.05","-0.26","10","9.67","9.67","18.7","25","20.7","","","","","","","電子零組件業","周義雄","周義雄"
="3305","昇貿","市","11/19","94.2","-2","-2.08","10","13.4","13.42","126","47.6","20.4","","","有","有","","","其他電子業","李三蓮","李弘偉"
